NOT FOUND,a-link-normal href,s-image src,a-link-normal href 2,a-link-normal href 3,a-link-normal href 4,a-size-base-plus,a-link-normal href 5,a-size-base-plus 2,a-link-normal href 6,a-badge-text,a-size-base href,a-offscreen,a-price-whole,a-offscreen 2,a-row,a-color-base,a-popover-trigger href,a-icon-alt,a-size-base,a-link-normal,s-label-popover href,a-color-secondary,a-popover-preload,a-link-normal 2,a-color-base 2
FOUND,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-1,https://m.media-amazon.com/images/I/61XQroYoJrL._AC_UL320_.jpg,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-1,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82QJXPY/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-1,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82R6RBQ/ref=cs_sr_dp_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-1,ENJOY the celebration people,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-1,"Enjoy Multicolor Sports Shoes for Men, Chunky Shoe, Fashion Shoe, Color Block Shoes, New Trend Shoe, Men Sports Shoe, Walking Shoe, Running & Gym Shoe, Casual/Sports Light Weight Shoe Lace-up",https://www.amazon.in/greatindianfestival,Great Indian Festival,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-1,₹499,499,"₹1,999",(75% off),FREE Delivery by Amazon,,,,,,,,,
FOUND,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-2,https://m.media-amazon.com/images/I/71ymsyigD9L._AC_UL320_.jpg,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-2,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-2#customerReviews,,Generic,,"Leo Light Weight Breathable Non Slip Men's Black- Grey Mesh Lace-up Sport-Shoes/Sneakers (809) for Running,Cycling & Casual Wearing",,,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-2,₹599,599,₹999,(40% off),FREE Delivery by Amazon,javascript:void(0),3.2 out of 5 stars,5,,,,,,
FOUND,https://www.amazon.in/ROADSTAG-House-Flip-Flop-Slipper/dp/B078S423LM/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-3,https://m.media-amazon.com/images/I/71lVB21jgJL._AC_UL320_.jpg,https://www.amazon.in/ROADSTAG-House-Flip-Flop-Slipper/dp/B078S423LM/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-3,,,ROADSTAG,,Brand Casual Soft Flip Flop Slippers for Mens Boys (Blue_Size 9 UK),,,https://www.amazon.in/ROADSTAG-House-Flip-Flop-Slipper/dp/B078S423LM/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-3,₹218,218,₹299,(27% off),,,,,,,,,,
FOUND,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B09B7SPLWS/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,https://m.media-amazon.com/images/I/41p+w956p5L._AC_UL320_.jpg,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B09B7SPLWS/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B09B839HPS/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B09B7VH8MX/ref=cs_sr_dp_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,Enjoy,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B0BF11GN4K/ref=cs_sr_dp_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,Women Walking Shoes Casual Breathable and Lightweight Upper Mesh Lace Up Sneakers Fashionable Shoes,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B0BF12XGY9/ref=cs_sr_dp_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,Great Indian Festival,https://www.amazon.in/Enjoy-Breathable-Lightweight-Sneakers-Fashionable/dp/B09B7SPLWS/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-4,"₹1,235","1,235","₹4,999",(75% off),FREE Delivery by Amazon,javascript:void(0),4.1 out of 5 stars,104,,,,,,
FOUND,https://www.amazon.in/Athizay%C2%AE-handbags-traditional-Drawstring-Embroidery/dp/B08HL2ZKWH/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-5,https://m.media-amazon.com/images/I/A1bNQVncVFL._AC_UL320_.jpg,https://www.amazon.in/Athizay%C2%AE-handbags-traditional-Drawstring-Embroidery/dp/B08HL2ZKWH/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-5,https://www.amazon.in/Athizay%C2%AE-handbags-traditional-Drawstring-Embroidery/dp/B08HL2ZKWH/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-5#customerReviews,,athizay,,4 Pcs Firozi Potli bags Combo for women handbags traditional Indian Wristlet with Drawstring Ethnic Embroidery Women Fashion Potli,,,https://www.amazon.in/Athizay%C2%AE-handbags-traditional-Drawstring-Embroidery/dp/B08HL2ZKWH/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-5,₹699,699,"₹1,999",(65% off),FREE Delivery by Amazon,javascript:void(0),5.0 out of 5 stars,1,,,,,,
FOUND,https://www.amazon.in/ZORIK-Orange-Synthetic-Leather-Jogging/dp/B08KWLXT8C/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-6,https://m.media-amazon.com/images/I/61EcI1eBcrL._AC_UL320_.jpg,https://www.amazon.in/ZORIK-Orange-Synthetic-Leather-Jogging/dp/B08KWLXT8C/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-6,https://www.amazon.in/ZORIK-Orange-Synthetic-Leather-Jogging/dp/B08KWLXT8C/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-6#customerReviews,,ZORIK,,Men's Blue & Orange Synthetic Leather Jogging Sports Shoes - ZR-001,,,https://www.amazon.in/ZORIK-Orange-Synthetic-Leather-Jogging/dp/B08KWLXT8C/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-6,₹849,849,"₹2,499",(66% off),,javascript:void(0),3.3 out of 5 stars,10,,,,,,
FOUND,https://www.amazon.in/Comfortable-Lightweight-Walking-Running-Sneakers/dp/B0B58M26W6/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-7,https://m.media-amazon.com/images/I/71af402eNZL._AC_UL320_.jpg,https://www.amazon.in/Comfortable-Lightweight-Walking-Running-Sneakers/dp/B0B58M26W6/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-7,https://www.amazon.in/Comfortable-Lightweight-Walking-Running-Sneakers/dp/B0BGC8X8NX/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-7,https://www.amazon.in/Comfortable-Lightweight-Walking-Running-Sneakers/dp/B0B58M26W6/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-7,ENJOY the celebration people,https://www.amazon.in/Comfortable-Lightweight-Walking-Running-Sneakers/dp/B0B58M26W6/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-7#customerReviews,Enjoy Mesh Shoes for Men | Comfortable & Lightweight Trendy Walking & Running Shoes Lace Up | Sneakers for Men | Gym & Workout Shoe,https://www.amazon.in/greatindianfestival,Great Indian Festival,https://www.amazon.in/Comfortable-Lightweight-Walking-Running-Sneakers/dp/B0B58M26W6/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-7,₹499,499,"₹1,499",(67% off),FREE Delivery by Amazon,javascript:void(0),5.0 out of 5 stars,1,,,,,,
FOUND,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQJZ4Q3/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,https://m.media-amazon.com/images/I/61FlEZRz8aL._AC_UL320_.jpg,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQJZ4Q3/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B084PRBHL8/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B082YF6HRD/ref=cs_sr_dp_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,Puma,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B082YDKDVZ/ref=cs_sr_dp_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,Men's Flexracer Hm Nu Idp Shoes,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQKHQJ5/ref=cs_sr_dp_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQJZ4Q3/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-8,"₹1,749","1,749","₹3,499",(50% off),FREE Delivery by Amazon,javascript:void(0),4.0 out of 5 stars,385,2,,,,,
FOUND,https://www.amazon.in/athizay-Multi-Colored-traditional-Drawstring-Embroidery/dp/B08KWL4DGS/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-9,https://m.media-amazon.com/images/I/81OCM1TwyoL._AC_UL320_.jpg,https://www.amazon.in/athizay-Multi-Colored-traditional-Drawstring-Embroidery/dp/B08KWL4DGS/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-9,https://www.amazon.in/athizay-Multi-Colored-traditional-Drawstring-Embroidery/dp/B08KWL4DGS/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-9#customerReviews,,athizay,,"3 Pcs Multi-Colored (Pink,Orange,Beige) Potli bags Combo for women handbags traditional Indian Wristlet with Drawstring Ethnic Embroidery Women Fashion Potli",,,https://www.amazon.in/athizay-Multi-Colored-traditional-Drawstring-Embroidery/dp/B08KWL4DGS/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-9,₹449,449,"₹1,299",(65% off),,javascript:void(0),4.0 out of 5 stars,2,,,,,,
FOUND,https://www.amazon.in/Breathable-Walking-Running-Stylish-Workout/dp/B0BGCC444V/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-10,https://m.media-amazon.com/images/I/81bEEZFR0kL._AC_UL320_.jpg,https://www.amazon.in/Breathable-Walking-Running-Stylish-Workout/dp/B0BGCC444V/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-10,https://www.amazon.in/Breathable-Walking-Running-Stylish-Workout/dp/B0BGCC444V/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-10#customerReviews,https://www.amazon.in/greatindianfestival,ENJOY the celebration people,,"Enjoy Mesh Shoes for Men, Breathable & Light Weight Shoes, Walking & Running Shoes for Men, Stylish Shoe for Men, Gym & Workout Sneaker",,Great Indian Festival,https://www.amazon.in/Breathable-Walking-Running-Stylish-Workout/dp/B0BGCC444V/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-10,₹499,499,₹999,(50% off),FREE Delivery by Amazon,javascript:void(0),4.1 out of 5 stars,72,,,,,,
FOUND,https://www.amazon.in/Beautiul-Handmade-Zardosi-Embroidered-Occasion/dp/B0B9T14GH9/ref=sr_1_11?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-11,https://m.media-amazon.com/images/I/61rW7qYKGTL._AC_UL320_.jpg,https://www.amazon.in/Beautiul-Handmade-Zardosi-Embroidered-Occasion/dp/B0B9T14GH9/ref=sr_1_11?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-11,,,Shubham's,,Handmade Beautiful Beaded Pearl Zardosi Cut Work Embroidered Potli Bag Women Handbag Pouch For Special Occasion Silk Fabric,,,https://www.amazon.in/Beautiul-Handmade-Zardosi-Embroidered-Occasion/dp/B0B9T14GH9/ref=sr_1_11?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755787&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=shoes&sprefix=%2Caps%2C237&sr=1-11,"₹1,599","1,599","₹4,999",(68% off),,,,,,,,,,
